Designator,Mid X,Mid Y,Rotation,Layer
ANT1,155.732978,-111.383541,180.0,bottom
C1,133.3005,-100.953399,180.0,bottom
C10,155.8505,-25.803399,0.0,bottom
C11,141.7005,-98.253399,90.0,bottom
C12,143.7005,-104.753399,180.0,bottom
C13,151.6005,-35.053399,90.0,bottom
C14,140.7005,-110.553399,270.0,bottom
C15,147.4005,-105.953399,0.0,bottom
C16,145.3005,-101.653399,0.0,bottom
C17,90.2505,-100.403399,270.0,top
C18,145.5905,-26.773399,180.0,top
C19,146.7005,-108.253399,270.0,bottom
C2,133.4005,-99.453399,180.0,bottom
C20,141.5005,-72.003399,0.0,top
C21,81.2505,-86.753399,0.0,bottom
C22,143.8005,-26.153399,0.0,bottom
C23,148.8105,-24.483399,0.0,top
C24,139.2505,-29.553399,90.0,top
C25,155.8505,-27.403399,0.0,bottom
C26,158.2505,-27.603399,270.0,bottom
C27,159.8005,-27.553399,270.0,bottom
C28,29.4005,-73.203399,0.0,bottom
C29,105.0505,-48.403399,0.0,bottom
C3,129.8505,-105.153399,180.0,bottom
C30,86.6005,-72.503399,0.0,bottom
C31,84.8905,-98.033399,0.0,top
C32,31.7005,-35.153399,0.0,bottom
C33,91.2505,-34.803399,0.0,bottom
C34,27.4005,-48.403399,0.0,bottom
C35,47.8005,-17.253399,0.0,top
C36,24.9505,-86.553399,0.0,bottom
C37,145.9505,-76.353399,90.0,bottom
C38,112.8005,-110.703399,90.0,top
C39,106.0005,-17.153399,0.0,top
C4,135.7005,-98.153399,270.0,bottom
C40,110.3505,-34.453399,180.0,bottom
C41,159.6505,-36.803399,270.0,top
C42,98.1005,-105.753399,0.0,bottom
C43,19.7505,-69.753399,0.0,top
C44,52.9505,-93.753399,180.0,top
C45,19.1005,-31.203399,90.0,top
C46,159.6505,-73.803399,90.0,top
C5,133.6005,-106.003399,0.0,bottom
C6,143.5005,-103.253399,0.0,bottom
C7,140.1005,-97.253399,90.0,bottom
C8,140.9005,-107.553399,270.0,bottom
C9,120.5505,-105.503399,270.0,top
