Designator,Mid X,Mid Y,Rotation,Layer
ANT1_2,159.845478,-24.207291,180.0,bottom
ANT1,159.795456,-216.173541,180.0,bottom
C1_2,143.725478,-41.447291,180.0,bottom
C1,137.362978,-205.743399,180.0,bottom
C10_2,155.295478,-110.157291,90.0,top
C10,159.912978,-130.593399,0.0,bottom
C11_2,145.762978,-203.043399,90.0,bottom
C11,145.595478,-28.157291,90.0,bottom
C12_2,147.762978,-209.543399,180.0,bottom
C12,148.995478,-34.357291,180.0,bottom
C13_2,155.662978,-139.843399,90.0,bottom
C13,158.120478,-96.407291,180.0,bottom
C14_2,144.762978,-215.343399,270.0,bottom
C14,148.025478,-38.977291,270.0,bottom
C15_2,152.901765,-29.725432,270.0,bottom
C15,151.462978,-210.743399,0.0,bottom
C16_2,148.945478,-32.807291,0.0,bottom
C16,149.362978,-206.443399,0.0,bottom
C17_2,94.312978,-205.193399,270.0,top
C17,93.395478,-33.907291,90.0,bottom
C18_2,149.652978,-131.563399,180.0,top
C18,152.215478,-100.917291,0.0,bottom
C19_2,150.762978,-213.043399,270.0,bottom
C19,153.395478,-35.057291,180.0,bottom
C2_2,134.195478,-30.157291,0.0,bottom
C2,137.462978,-204.243399,180.0,bottom
C20_2,145.562978,-176.793399,0.0,top
C20,150.345478,-68.957291,90.0,bottom
C21_2,85.312978,-191.543399,0.0,bottom
C21,38.755478,-49.007291,180.0,bottom
C22_2,147.862978,-130.943399,0.0,bottom
C22,155.895478,-93.457291,180.0,bottom
C23_2,152.872978,-129.273399,0.0,top
C23,156.295478,-102.557291,180.0,bottom
C24_2,143.312978,-134.343399,90.0,top
C24,156.095478,-104.157291,0.0,bottom
C25_2,156.895478,-110.157291,90.0,top
C25,159.912978,-132.193399,0.0,bottom
C26_2,153.295478,-115.957291,0.0,top
C26,162.312978,-132.393399,270.0,bottom
C27_2,163.070478,-108.357291,180.0,top
C27,163.862978,-132.343399,270.0,bottom
C28_2,100.415478,-87.157291,180.0,bottom
C28,33.462978,-177.993399,0.0,bottom
C29_2,41.115478,-87.197291,180.0,bottom
C29,109.112978,-153.193399,0.0,bottom
C3_2,138.355478,-38.327291,90.0,bottom
C3,133.912978,-209.943399,180.0,bottom
C30_2,71.405478,-63.317291,180.0,bottom
C30,90.662978,-177.293399,0.0,bottom
C31_2,88.952978,-202.823399,0.0,top
C31,95.825478,-49.437291,180.0,bottom
C32_2,131.505478,-100.087291,180.0,bottom
C32,35.762978,-139.943399,0.0,bottom
C33_2,95.312978,-139.593399,0.0,bottom
C33,76.245478,-100.727291,180.0,bottom
C34_2,31.462978,-153.193399,0.0,bottom
C34,128.565478,-63.177291,180.0,bottom
C35_2,25.835478,-113.827291,90.0,top
C35,51.862978,-122.043399,0.0,top
C36_2,22.995478,-55.157291,90.0,top
C36,29.012978,-191.343399,0.0,bottom
C37_2,161.395478,-58.157291,90.0,top
C37,150.012978,-181.143399,90.0,bottom
C38_2,116.862978,-215.493399,90.0,top
C38,147.895478,-27.357291,0.0,bottom
C39_2,110.062978,-121.943399,0.0,top
C39,162.695478,-41.157291,270.0,top
C4_2,137.745478,-30.107291,180.0,bottom
C4,139.762978,-202.943399,270.0,bottom
C40_2,114.412978,-139.243399,180.0,bottom
C40,160.295478,-67.357291,270.0,bottom
C41_2,163.712978,-141.593399,270.0,top
C41,79.955947,-118.307291,180.0,top
C42_2,135.270478,-118.207291,180.0,top
C42,102.162978,-210.543399,0.0,bottom
C43_2,23.812978,-174.543399,0.0,top
C43,68.070478,-42.707291,0.0,top
C44_2,90.895478,-33.707291,270.0,top
C44,57.012978,-198.543399,180.0,top
C45_2,23.162978,-135.993399,90.0,top
C45,121.495478,-27.457291,0.0,bottom
C46_2,163.712978,-178.593399,90.0,top
C46,161.255947,-89.19461,0.0,top
C5_2,146.145478,-38.907291,270.0,bottom
C5,137.662978,-210.793399,0.0,bottom
C6_2,147.562978,-208.043399,0.0,bottom
C6,141.425478,-39.717291,90.0,bottom
C7_2,139.835478,-38.347291,270.0,bottom
C7,144.162978,-202.043399,90.0,bottom
C8_2,134.309988,-32.761258,270.0,bottom
C8,144.962978,-212.343399,270.0,bottom
C9_2,124.612978,-210.293399,270.0,top
