Designator,Mid X,Mid Y,Rotation,Layer
ANT1,22.170969,-113.230719,0.0,bottom
C1,38.290969,-95.990719,0.0,bottom
C10,26.720969,-27.280719,270.0,top
C11,36.420969,-109.280719,270.0,bottom
C12,33.020969,-103.080719,0.0,bottom
C13,23.895969,-41.030719,0.0,bottom
C14,33.990969,-98.460719,90.0,bottom
C15,29.114682,-107.712578,90.0,bottom
C16,33.070969,-104.630719,180.0,bottom
C17,88.620969,-103.530719,270.0,bottom
C18,29.800969,-36.520719,180.0,bottom
C19,28.620969,-102.380719,0.0,bottom
C2,47.820969,-107.280719,180.0,bottom
C20,31.670969,-68.480719,270.0,bottom
C21,143.260969,-88.430719,0.0,bottom
C22,26.120969,-43.980719,0.0,bottom
C23,25.720969,-34.880719,0.0,bottom
C24,25.920969,-33.280719,180.0,bottom
C25,25.120969,-27.280719,270.0,top
C26,28.720969,-21.480719,180.0,top
C27,18.945969,-29.080719,0.0,top
C28,81.600969,-50.280719,0.0,bottom
C29,140.900969,-50.240719,0.0,bottom
C3,43.660969,-99.110719,270.0,bottom
C30,110.610969,-74.120719,0.0,bottom
C31,86.190969,-88.000719,0.0,bottom
C32,50.510969,-37.350719,0.0,bottom
C33,105.770969,-36.710719,0.0,bottom
C34,53.450969,-74.260719,0.0,bottom
C35,156.180969,-23.610719,270.0,top
C36,159.020969,-82.280719,270.0,top
C37,20.620969,-79.280719,270.0,top
C38,34.120969,-110.080719,180.0,bottom
C39,19.320969,-96.280719,90.0,top
C4,44.270969,-107.330719,0.0,bottom
C40,21.720969,-70.080719,90.0,bottom
C41,102.0605,-19.130719,0.0,top
C42,46.745969,-19.230719,0.0,top
C43,113.945969,-94.730719,180.0,top
C44,91.120969,-103.730719,90.0,top
C45,60.520969,-109.980719,180.0,bottom
C46,20.7605,-48.2434,180.0,top
C5,35.870969,-98.530719,90.0,bottom
C6,40.590969,-97.720719,270.0,bottom
C7,42.180969,-99.090719,90.0,bottom
C8,47.706459,-104.676752,90.0,bottom
C9,53.142453,-101.487608,90.0,bottom
D1,41.400969,-19.580719,0.0,top
D10,124.770969,-33.530719,180.0,bottom
D11,135.520969,-19.680719,0.0,top
D12,146.202219,-33.530719,180.0,bottom
D13,156.150969,-19.580719,180.0,top
D14,158.370969,-38.270719,270.0,top
D15,158.370969,-57.730719,270.0,top
D16,146.202219,-52.580719,0.0,bottom
D17,124.770969,-52.580719,0.0,bottom
D18,105.720969,-52.580719,0.0,bottom
D19,86.670969,-52.580719,0.0,bottom
D2,48.570969,-33.530719,180.0,bottom
D20,67.620969,-52.580719,0.0,bottom
D21,48.570969,-52.580719,0.0,bottom
D22,53.333469,-71.630719,180.0,bottom
D23,72.383469,-71.630719,180.0,bottom
D24,91.433469,-71.630719,180.0,bottom
D25,110.483469,-71.630719,180.0,bottom
D26,129.533469,-71.630719,180.0,bottom
D27,148.583469,-71.630719,180.0,bottom
D28,158.370969,-76.480719,270.0,top
D29,158.370969,-92.650719,270.0,top
D3,58.160969,-19.580719,0.0,top
D30,148.583469,-90.680719,0.0,bottom
D31,139.060969,-95.080719,180.0,top
D32,129.533469,-90.680719,0.0,bottom
D33,119.920969,-95.080719,180.0,top
D34,110.483469,-90.680719,0.0,bottom
D35,100.900969,-95.080719,180.0,top
D36,91.433469,-90.680719,0.0,bottom
D37,94.020969,-104.580719,270.0,top
D38,85.720969,-112.780719,180.0,top
D39,74.764719,-109.730719,0.0,bottom
D4,67.620969,-33.530719,180.0,bottom
D40,62.858469,-90.680719,0.0,bottom
D41,60.620969,-112.780719,180.0,top
D42,34.520969,-112.780719,180.0,top
D43,18.820969,-101.760719,90.0,top
D44,18.820969,-84.960719,90.0,top
D45,18.820969,-70.170719,90.0,top
D46,18.820969,-52.480719,90.0,top
D47,18.820969,-33.270719,90.0,top
D48,25.340969,-21.700719,90.0,top
D5,77.040969,-19.580719,0.0,top
D6,86.670969,-33.530719,180.0,bottom
D7,96.200969,-19.580719,0.0,top
D8,105.720969,-33.530719,180.0,bottom
D9,115.220969,-19.580719,0.0,top
Di1,57.020969,-32.880719,90.0,bottom
Di10,154.640969,-32.560719,90.0,bottom
Di11,57.070969,-50.880719,90.0,bottom
Di12,76.120969,-50.880719,90.0,bottom
Di13,114.220969,-50.880719,90.0,bottom
Di14,133.270969,-50.880719,90.0,bottom
Di15,154.702219,-50.880719,90.0,bottom
Di16,80.883469,-69.930719,90.0,bottom
Di17,99.933469,-69.930719,90.0,bottom
Di18,118.983469,-69.930719,90.0,bottom
Di19,157.220969,-68.680719,90.0,bottom
Di2,133.270969,-31.830719,90.0,bottom
Di20,71.358469,-88.980719,90.0,bottom
Di21,100.420969,-85.980719,90.0,bottom
Di22,138.470969,-86.130719,90.0,bottom
Di23,157.620969,-86.180719,90.0,bottom
Di24,83.720969,-105.180719,90.0,bottom
Di3,95.170969,-50.880719,90.0,bottom
Di4,61.833469,-69.930719,90.0,bottom
Di5,138.033469,-69.930719,90.0,bottom
Di6,119.520969,-85.880719,90.0,bottom
Di7,76.120969,-31.830719,90.0,bottom
Di8,95.170969,-31.830719,90.0,bottom
Di9,114.220969,-31.830719,90.0,bottom
F1,31.520969,-27.480719,180.0,bottom
IC2,19.660969,-26.655719,90.0,bottom
IC3,39.645969,-104.679719,0.0,bottom
IC4,38.120969,-44.180719,180.0,bottom
IC5,39.020969,-65.155719,0.0,bottom
IC6,18.882969,-39.580719,180.0,bottom
J1,32.135969,-20.680719,180.0,bottom
J6,46.830969,-112.280719,90.0,top
J7,25.740969,-83.040719,90.0,top
L1,31.670969,-106.280719,0.0,bottom
L2,29.120969,-111.840719,90.0,bottom
L3,21.020969,-40.580719,90.0,bottom
L5,19.320969,-21.830719,270.0,bottom
R1,31.020969,-20.280719,90.0,top
R10,39.920969,-31.330719,90.0,top
R2,32.720969,-20.280719,90.0,top
R3,25.250969,-25.060719,0.0,bottom
R4,29.820969,-30.580719,270.0,bottom
R5,30.510969,-32.920719,0.0,bottom
R6,29.260969,-34.710719,0.0,bottom
R7,32.050969,-37.080719,270.0,bottom
R9,31.270969,-70.780719,0.0,bottom
S1,48.570969,-28.830719,0.0,top
S10,105.720969,-47.880719,0.0,top
S11,124.770969,-47.880719,0.0,top
S12,146.202219,-47.880719,0.0,top
S13,53.333469,-66.930719,0.0,top
S14,72.383469,-66.930719,0.0,top
S15,91.433469,-66.930719,0.0,top
S16,110.483469,-66.930719,0.0,top
S17,129.533469,-66.930719,0.0,top
S18,148.583469,-66.930719,0.0,top
S19,62.858469,-85.980719,0.0,top
S2,67.620969,-28.830719,0.0,top
S20,91.433471,-85.980719,0.0,top
S21,110.483469,-85.980719,0.0,top
S22,129.533469,-85.980719,0.0,top
S23,148.583469,-85.980719,0.0,top
S24,74.764719,-105.030719,0.0,top
S26,19.345969,-22.280719,270.0,top
S3,86.670969,-28.830719,0.0,top
S4,105.720969,-28.830719,0.0,top
S5,124.770969,-28.830719,0.0,top
S6,146.202219,-28.830719,0.0,top
S7,48.570969,-47.880719,0.0,top
S8,67.620969,-47.880719,0.0,top
S9,86.670969,-47.880719,0.0,top
U1,29.020969,-40.130719,90.0,bottom
U2,24.820969,-28.205719,0.0,bottom
U3,36.720969,-32.380719,180.0,bottom
U5,29.180969,-58.320719,0.0,top
U6,29.160969,-38.370719,0.0,top
Y1,29.970969,-99.500719,270.0,bottom
